Fund Name,Absolute Return (%),Index Return (%),MF Annualized Return (%),Index Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
360 ONE Focused Equity Fund-Direct Plan-Growth,335.7134395545815,161.12566245469898,17.404809115769517,11.031208782118163,6.373600333651353,3348,10.278288592616267,16.740196467395606,31.08672408672407,31.250836359094684,81.01208199020643,127.2123096564292,193.6293783055583
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,23.627851584156392,23.039380314097755,26.085760018295634,25.430029650848773,0.6557303674468606,334,10.708014231996264,13.488652642690194,,,,,
Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth,11.031461569095965,12.868106605598717,36.762068715007736,43.64245110156935,-6.880382386561614,122,10.37212984956453,,,,,,
Bank of India Multi Cap Fund Direct Plan - Growth,43.643643643643635,25.18268056855657,61.71934219392017,34.73108857019689,26.98825362372328,275,12.814465408805024,25.987708516242307,,,,,
BANK OF INDIA Bluechip Fund Direct Plan Growth,39.94140625,37.862917809217336,14.902334083082147,14.193792670083493,0.7085414129986543,883,15.657788539144466,22.478632478632488,31.10704483074108,28.63554757630161,,,
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Growth,337.49999999999994,256.8667442318745,16.04091767581377,13.68236529074851,2.358552385065259,3621,13.472278981065253,22.409992652461426,30.52334691319335,34.441575209812775,81.63977322285216,115.91498185588387,137.1867881548975
BANK OF INDIA Small Cap Fund Direct Plan Growth,309.46215139442234,100.05800470530406,32.54876866020524,14.867773007254748,17.680995652950493,1826,11.620961172956832,26.41451414514144,42.84225156358581,42.99130434782609,148.39879154078548,285.2858481724461,309.46215139442234
BANK OF INDIA Manufacturing & Infrastructure Fund-Direct Plan-Growth,584.5839017735335,256.8667442318745,21.398060368026695,13.68236529074851,7.715695077278184,3621,14.461678832116778,28.567768383294894,46.425444995622975,53.36185819070906,136.80981595092024,207.28720146968774,219.00826446280993
BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,524.6221161495624,256.8667442318745,20.281526946765283,13.68236529074851,6.599161656016772,3621,14.520128354725784,26.841680129240714,36.21616932685635,36.09811059109032,94.48848154570226,157.9336399474376,199.16174509430365
BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,175.9013282732448,96.24778183406649,34.5570190342646,21.79683602216913,12.760183012095467,1248,15.76433121019107,30.1118568232662,39.67339097022093,40.75508228460793,109.05823148813802,,
