Fund Name,Absolute Return (%),Index Return (%),MF Annualized Return (%),Index Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%),Downside Volatility (%),Sortino Ratio,MF Beta,Treynor Ratio
360 ONE Focused Equity Fund-Direct Plan-Growth,404.69308377263127,184.11718326850468,17.24417416373356,10.807276051807335,6.436898111926226,3714,-8.656842285812296,-2.998956455744231,15.831424499681681,51.839619839619836,52.029713422485514,109.66887308578785,163.18325491366974,3.1373792385374,1.5707855431651057,0.9818354823673603,6.555984406273288
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,35.720005749368596,33.8727179754243,17.263891716636294,16.428920474805643,0.834971241830651,700,-8.24894675837561,-1.1404512447744886,9.78109221365931,,,,,2.2683474714896463,0.2724485727620586,1.0378656617687905,0.8045080135011354
Bajaj Finserv Large and Mid Cap Fund- Direct Plan- Growth,20.732681173887002,7.5604560885257674,25.199193482100913,9.082628453072882,16.11656502902803,306,-4.9732872407290944,3.1468531468531444,,,,,,2.25612838243677,4.771513732209199,1.0469548497806374,15.39375363933301
Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth,42.5726802070888,22.805886745027387,30.38018329691239,16.6088635540399,13.771319742872489,488,-5.153000397403632,2.784955498133792,28.407460545193697,,,,,2.5955666306982494,3.6698162358894004,0.8170694687066291,16.85452739370086
Bank of India Multi Cap Fund Direct Plan - Growth,77.67767767767766,36.20473094370599,38.72241525416098,19.237288369045793,19.485126885115186,641,-5.685441020191288,1.0244735344336922,23.693379790940767,,,,,2.8135150048820448,4.501050122644319,0.9193912308131883,21.193509609484607
BANK OF INDIA Bluechip Fund Direct Plan Growth,60.25390625,50.001434240219176,14.776241720062998,12.579944184277569,2.1962975357854297,1249,-7.34048560135517,-3.6406341749853257,14.515003489183531,50.13723696248857,47.307001795332134,,,2.725762165036851,0.6130017892921719,1.0186426042006145,2.1561021762966477
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Growth,415.8088235294117,288.28804959356273,16.20547397023051,13.223244405840372,2.9822295643901384,3987,-6.803947618143861,-2.7431174489998122,17.899159663865543,53.88592917580694,58.505487411233034,114.15176624509375,154.56194919647487,2.8622059380838274,0.774947476229764,0.9586407701693364,3.110893733283794
BANK OF INDIA Small Cap Fund Direct Plan Growth,440.33864541832673,117.6726571140783,32.434028433199494,13.828045092385954,18.605983340813538,2192,-2.8648164726947205,7.086458744571661,31.96302602773048,88.498957609451,88.69565217391305,227.79456193353474,408.4348641049671,3.841456269788658,3.53363096419403,0.885560271505021,21.010408821968074
Bank of India Business Cycle Fund - Direct Plan - Growth,-2.279484638255703,-8.39200903003518,-8.742294202063816,-29.372352805737258,20.63005860367344,92,-2.279484638255703,,,,,,,0.5656854249492386,29.77692472057151,0.3173751544280796,65.00212230175823
Bank of India Consumption Fund - Direct - Growth,0.0,,,,,0,,,,,,,,,,,
BANK OF INDIA Manufacturing & Infrastructure Fund-Direct Plan-Growth,773.5334242837654,288.28804959356273,21.947195007704433,13.223244405840372,8.723950601864061,3987,-7.777617744490861,-1.8396443354284882,27.600637704264653,86.83980157572219,95.69070904645478,202.17083529966965,292.10042865891006,3.74936026791449,1.8031903120179382,0.9935687972699234,8.780419258168411
BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,667.859984089101,288.28804959356273,20.516187172609634,13.223244405840372,7.2929427667692615,3987,-4.421448730009411,-2.366983613190374,22.931923836209638,67.4531575294934,67.30802565435951,139.08843200396333,217.08278580814718,2.992897142106003,1.771886731202877,0.9241383919295748,7.891613237214183
BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,261.19544592030365,113.52695278297276,33.69996867015617,18.71469566335402,14.985273006802146,1614,-3.449150393101698,1.4929352172753994,30.914718019257233,82.85302593659942,84.26911907066795,173.68799424874192,,3.1651064234435924,3.2879668011296124,0.8862860149327891,16.90794253132669
Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,556.5225064445766,288.28804959356273,18.80020322444316,13.223244405840372,5.576958818602787,3987,-0.28461343622384927,7.325829569781618,33.134540219716584,75.91366804032124,72.33203206329377,157.01311908088806,209.5692379616643,2.997217781633456,1.3935881545201092,0.923550425835022,6.038607814576466
BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,61.82532654416648,35.385853104109714,19.082210635197928,11.618921634940428,7.4632890002575,1006,-7.552738268429791,-0.10627330003918722,21.53290186288629,53.4739864760552,,,,2.4582442394496735,2.165395413878816,0.9717729007598905,7.680075246409407
Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option,192.53922542204566,110.22179230537836,28.696511058483452,19.07994285618022,9.616568202303231,1553,-3.28853199564024,5.800614863020593,29.5559894802579,70.47661485399475,70.37998843262002,147.55210084033615,,2.9377269151251384,2.2824380698430375,0.9210154267975232,10.441267238857385
BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - Growth Option,84.12052030389162,35.385853104109714,24.791553014801536,11.618921634940428,13.172631379861109,1006,-3.5604182266080633,3.1950669294129783,30.4470730509051,75.49749780286027,,,,2.747040565335295,3.4497147559240275,0.8469376324161675,15.553248404232383
Baroda BNP Paribas Small Cap Fund - Direct Plan - Growth option,33.24042472506636,17.442130625240925,30.19364350663856,15.929989603160788,14.26365390347777,397,-3.873328545535379,4.069724390207781,26.46402476334448,,,,,3.3086970018961233,3.161139274209065,0.855513200511633,16.6726286572171
Baroda BNP Paribas Dividend Yield Fund - Direct Plan - Growth Option,-7.621244845866867,-8.39200903003518,-26.985171196578396,-29.372352805737258,2.387181609158862,92,-7.621244845866867,,,,,,,0.0,,1.5722750451409486,1.518297715489633
Baroda BNP Paribas Value Fund - Direct Plan - Growth option,40.45582646778676,23.220273118689406,25.288944211106703,14.86295466180454,10.425989549302162,550,-8.555865975361051,-2.473016370863819,16.525323622618142,,,,,2.927808763423682,2.602844150284488,1.083510804205955,9.62241401639072
BARODA BNP PARIBAS Focused Fund - Direct Plan - Growth Option,58.245391958046476,35.385853104109714,18.119584323688255,11.618921634940428,6.500662688747827,1006,-7.015293537247154,-3.0003602490865084,18.870405138579617,53.237689026754566,,,,2.4999256048503935,1.8695444118745228,0.95308987327545,6.820618780060301
Baroda BNP Paribas Banking and Financial Services Fund - Direct - Growth Option,420.3877551020407,288.28804959356273,16.29953370345465,13.223244405840372,3.0762892976142773,3987,-3.4698423577793047,3.915260162967813,13.997675250357641,38.89697998314248,62.08798929407827,76.62449872402478,76.04687499999999,4.151644443560739,0.5978781230020415,1.2064294442372412,2.549912315476721
Baroda BNP Paribas Business Cycle Fund - Direct Plan - Growth,68.25226130653267,34.20705497792043,17.33403798053892,9.46053764230237,7.87350033823655,1188,-5.313733696820238,1.9574048246922942,22.144316357799504,61.95944507865254,66.91026919242273,,,2.7789506325024553,2.1367859221186647,1.0769795208842328,7.310724285427607
BARODA BNP PARIBAS India Consumption Fund - Direct Plan - Growth Option,74.57483628395708,35.385853104109714,22.404256626548992,11.618921634940428,10.785334991608565,1006,-7.803516855764717,5.889300364286621,24.287806105987926,62.65996640589475,,,,2.8972809588700357,2.8264635252913,0.9204308298839191,11.71770288590699
Baroda BNP Paribas Innovation Fund Direct plan - Growth Option,26.362992225339,5.902746762780727,36.419773305679605,7.90925138600711,28.510521919672495,275,-1.0300814182434537,9.134804805056547,,,,,,2.451825258510505,7.175588820135576,0.9849377981888694,28.94652024939892
Baroda BNP Paribas Manufacturing Fund - Direct Plan - Growth Option,-6.807776394349091,-5.23562877695435,-15.48155257746464,-12.040241741082248,-3.4413108363823923,153,-8.578820316031441,,,,,,,1.3049696102967445,-2.358677137349696,1.0801322935658084,-3.1860086554969076
BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan - Growth Option,67.35293516875983,35.385853104109714,20.542260336257854,11.618921634940428,8.923338701317427,1006,-2.7907048909665537,5.654013796277754,25.08158929726924,66.1621409115161,,,,2.823794729714393,2.3920518448431913,0.9480078137067083,9.412726954672655
Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option,61.145569494026844,33.14038132981044,22.6504246405276,13.029641820955785,9.620782819571815,853,-5.16543233060644,3.156618046024706,23.2816099845898,59.57026621376096,,,,2.312085921356332,2.8933354649652934,0.8975394255735911,10.719064305641455
Canara Robeco Multi Cap Fund - Direct Plan - Growth Option,42.198233562316005,22.805886745027387,30.123981519503417,16.6088635540399,13.515117965463517,488,-4.356435643564358,4.244604316546761,23.319148936170215,,,,,2.8551509483621165,3.4437367051765677,0.937550517249163,14.415349057795618
Canara Robeco Mid Cap Fund- Direct Plan- Growth Option,72.45206861755801,30.596012003949706,31.272067168251795,14.257748578871698,17.014318589380096,731,-5.475663716814151,2.5810324129651843,28.9811320754717,72.45206861755801,,,,2.7772698498625408,4.3077521899383475,0.9222788693172798,18.448127952855526
Canara Robeco Value Fund - Direct Plan - Growth Option,86.90476190476191,34.20705497792043,21.185981689349397,9.46053764230237,11.725444047047027,1188,-7.329070339399895,1.837837837837837,19.089759797724394,59.93208828522921,82.38141335914811,,,2.5232983551490507,3.3514065357001086,0.9400051271679879,12.473808608228557
Canara Robeco Focused Equity Fund - Direct Plan - Growth Option,97.77131782945736,51.73653697328512,20.92574846861841,12.319825711026699,8.60592275759171,1310,-4.04325340855665,6.691061160480927,25.445605408727722,57.12086220169361,62.5,,,2.49262303784167,2.503799804782446,0.8751119141494503,9.834082496701106
Canara Robeco Manufacturing Fund - Direct Plan - Growth Option,22.418879056047192,5.902746762780727,30.797301317394155,7.90925138600711,22.888049931387044,275,-6.881077038145101,-0.6384676775738235,,,,,,3.1450087785795797,4.97968993929494,1.2552868564981323,18.23332237799233
DSP Multicap Fund - Direct - Growth,22.427387962870547,8.833324720952309,24.666081127014827,9.661455709269351,15.004625417745476,335,-5.384140697315646,3.0669691622552744,,,,,,3.107223080701021,3.7514248084394777,1.0862985108851577,13.812617128158568
