Index Name,Date,Close,P/E,P/B,cagr_curve,cagr_dev,fwd_1m,fwd_3m,fwd_6m,fwd_1y,fwd_2y,fwd_3y,fwd_4y,fwd_5y,Year
NIFTY MIDCAP 50,2010-01-04,2689.85,17.55,2.45,3599.3767161248124,-25.269005937895656,-5.429670799486952,2.4815510158558984,1.223116530661561,9.740320092198452,-31.985054928713495,-9.05069055895309,-15.064037028087062,26.586984404334824,2010
NIFTY MIDCAP 50,2010-01-05,2744.3,17.91,2.5,3600.6248410731755,-23.782673254510613,-9.650912801078615,0.44820172721640184,-0.7852640017490864,6.139999271216712,-33.505812046787895,-10.499945341252781,-16.74926210691251,24.07535619283605,2010
NIFTY MIDCAP 50,2010-01-06,2759.95,18.01,2.51,3601.873398823107,-23.374597205393204,-9.081686262432276,0.3804416746680195,-0.5797206471131688,3.918549249080594,-34.02779035852098,-11.007445787061354,-17.221326473305666,18.469537491621235,2010
NIFTY MIDCAP 50,2010-01-07,2741.25,17.89,2.5,3603.1223895246853,-23.920153032558556,-8.300957592339264,1.3041495668034697,-0.06748746010031281,1.5467396260830046,-33.202006383948934,-10.400364797081618,-17.51390788873689,18.96762425900591,2010
NIFTY MIDCAP 50,2010-01-08,2744.15,17.91,2.5,3604.3718133280418,-23.866067594557315,-8.397864548220769,0.5356850026419835,0.6340761255762217,-1.2863728294736143,-32.53284259242388,-10.16161652970865,-17.325947925587172,21.77541315161342,2010
NIFTY MIDCAP 50,2010-01-11,2758.2,18.0,2.51,3608.1226848508677,-23.55581445219059,-7.626350518454061,0.9807120585889395,1.1909941266043278,-2.439997099557678,-29.77485316510767,-13.160757015444858,-19.679501123921394,22.509245159886902,2010
NIFTY MIDCAP 50,2010-01-12,2726.9,17.8,2.48,3609.373842563686,-24.449499582367384,-6.789761267373207,2.1397924382998923,2.3524881733836933,0.7407679049469929,-28.58740694561591,-10.301074480178961,-18.75756353368293,23.915435109464966,2010
NIFTY MIDCAP 50,2010-01-13,2756.15,17.99,2.51,3610.625434129718,-23.665579543442043,-7.778967037352835,0.8834787656694987,1.9447417593382088,-0.7056945376703094,-28.68675507501406,-11.253015982439274,-19.61975944705476,21.889229541207843,2010
NIFTY MIDCAP 50,2010-01-14,2786.1,18.18,2.54,3611.877459699407,-22.862831558192763,-8.770324108969529,-0.5473601091130931,0.24765801658233055,-3.513872438175225,-29.435411507124655,-12.207027744876353,-20.234377804098923,19.97774667097376,2010
NIFTY MIDCAP 50,2010-01-15,2794.75,18.24,2.55,3613.1299194232497,-22.65016585824527,-9.05268807585652,-0.8551748814741966,-0.20574291081492113,-4.692727435369893,-29.65381518919402,-12.339207442526156,-20.23257894266034,21.715716969317466,2010
NIFTY MIDCAP 50,2010-01-18,2798.0,18.26,2.55,3616.889905025435,-22.64071969366942,-7.750178699070764,-2.628663330950687,0.32165832737669486,-4.077912794853466,-29.571122230164406,-13.772337383845601,-20.430664760543248,22.785918513223734,2010
NIFTY MIDCAP 50,2010-01-19,2765.3,18.05,2.52,3618.1441028718905,-23.57131387318012,-8.243228582793915,-1.4772357429573724,1.5079738183922053,-2.921925288395477,-27.42921202039562,-12.184934726792761,-19.489747947781446,24.237876541424086,2010
NIFTY MIDCAP 50,2010-01-20,2746.6,17.78,2.5,3619.3987356257608,-24.11446760575999,-8.2756863030656,0.6335105221000559,2.055268331755644,-1.8277142649093414,-26.37078569868201,-11.587053083812716,-18.941600524284574,25.338600451467276,2010
NIFTY MIDCAP 50,2010-01-21,2670.3,17.29,2.43,3620.653803437855,-26.248126858621013,-5.654795341347418,4.125004681121958,5.7259483953113754,0.7995356327004322,-24.173313859865942,-9.060779687675547,-16.363329962925523,29.154027637344115,2010
NIFTY MIDCAP 50,2010-01-22,2644.75,17.12,2.41,3621.9093064590343,-26.979121335712176,-4.7433594857736905,4.934303809433782,7.2105113904905815,3.0569997164193285,-23.440778901597504,-9.43378391152283,-15.190471689195572,30.120049153984297,2010
NIFTY MIDCAP 50,2010-01-25,2602.4,16.12,2.37,3625.678428286483,-28.2230884102452,-4.580387334767922,7.591069781739912,7.525745465723954,4.271057485398089,-19.42629880110668,-9.748693513679695,-19.462803565939137,32.76975099907777,2010
NIFTY MIDCAP 50,2010-01-27,2492.25,15.44,2.27,3628.193354985023,-31.308787703507384,3.3222991272946256,12.406460026080834,12.470659043033416,5.364630354097688,-15.305446885344566,-5.976527234426721,-15.903300230715212,38.63777710903802,2010
NIFTY MIDCAP 50,2010-01-28,2500.8,15.51,2.28,3629.451472431734,-31.09702612101704,2.9690499040307072,10.77255278310938,12.022152911068451,1.90539027511194,-17.768314139475383,-6.297984644913623,-16.334772872680738,38.52567178502877,2010
NIFTY MIDCAP 50,2010-01-29,2539.2,14.57,2.32,3630.710026145026,-30.06326636621976,1.4118620037807394,10.164618777567757,9.924385633270315,0.5690768746061892,-19.011893509766853,-8.827583490863255,-17.034892879647124,37.37200693131697,2010
NIFTY MIDCAP 50,2010-02-01,2584.0,14.83,2.36,3634.488306397454,-28.903334330402892,-0.3463622291021595,9.475619195046425,9.489164086687296,-3.092105263157896,-17.182662538699688,-10.377321981424148,-18.78482972136223,36.0874613003096,2010
NIFTY MIDCAP 50,2010-02-02,2551.15,14.64,2.33,3635.7486066903984,-29.83150718106724,0.9368324089136237,10.885287027419,10.8990063304784,-1.6365168649432604,-15.871273739294045,-10.612860866667972,-17.73905885581013,37.83979773827488,2010
NIFTY MIDCAP 50,2010-02-03,2612.25,14.99,2.38,3637.0093440068513,-28.175878780610603,0.13207005455067033,8.291702555268454,8.617092544741123,-3.05100966599674,-16.514498995119155,-12.70360800076562,-19.663125657957703,32.8873576418796,2010
NIFTY MIDCAP 50,2010-02-04,2543.8,14.6,2.32,3638.270518498354,-30.082164394693812,3.8387451843698184,8.691721047252132,11.205676546898324,-1.9635977671200622,-12.499017218334785,-10.354587624813272,-17.173126818146088,35.70642346096391,2010
NIFTY MIDCAP 50,2010-02-05,2479.45,14.85,2.26,3639.532130316503,-31.874485202459784,7.566194115630487,12.537054588719299,13.747000342817973,-0.3529008449454474,-10.228074774647599,-8.9979632579806,-14.630260743310009,36.14914597995524,2010
NIFTY MIDCAP 50,2010-02-06,2509.3,15.03,2.29,3640.7941796129453,-31.078224249777143,6.7947236281034495,10.70816562387915,12.403857649543703,-1.538277607300853,-11.29597895827522,-9.699916311321887,-15.47642768899694,32.929502251623944,2010
NIFTY MIDCAP 50,2010-02-08,2513.7,15.06,2.29,3643.319591247568,-31.005229240972433,6.607789314556256,9.796316187293641,13.398575804590852,-5.201495802999567,-11.419421569797494,-11.413454270597112,-15.182798265505015,29.5759239368262,2010
NIFTY MIDCAP 50,2010-02-09,2540.1,15.21,2.32,3644.582953889307,-30.304782957695096,4.38959096098579,8.655171056257615,12.219991338923663,-10.14920672414471,-10.651155466320217,-12.375497027676074,-16.06432817605605,28.22920357466243,2010
NIFTY MIDCAP 50,2010-02-10,2522.25,15.11,2.29,3645.846754616458,-30.81854038965661,4.763603925066917,9.424125284963814,12.387749033600937,-8.508276340568932,-10.540192288631179,-11.755377143423528,-15.470314203588053,29.931608682723756,2010
NIFTY MIDCAP 50,2010-02-11,2547.85,15.26,2.31,3647.1109935809327,-30.140596091418054,3.773770041407465,7.092254253586372,9.94564044194124,-7.000019624389187,-10.852287222560197,-12.642031516769038,-16.335341562493866,32.06625193790844,2010
NIFTY MIDCAP 50,2010-02-15,2541.75,15.22,2.3,3652.1723348521286,-30.404434211812408,3.42874004131013,6.894855906363717,11.808793154322817,-3.2536638143011665,-6.572243532998923,-15.324087734828362,-17.592210091472417,34.14773286121766,2010
