sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
1.3,10/02/2024,13/02/2025,400,5,Quarterly,4,13.74901979,7.560456089
1.3,10/02/2024,13/02/2025,400,5,Semi-Annual,2,17.039663,7.560456089
1.3,10/02/2024,13/02/2025,400,5,Annual,1,20.3048658,7.560456089
1.3,10/02/2024,13/02/2025,400,5,No,0,20.3048658,7.560456089
1.3,10/02/2023,13/02/2025,400,5,Quarterly,8,46.345266,36.64395612
1.3,10/02/2023,13/02/2025,400,5,Semi-Annual,4,69.28609021,36.64395612
1.3,10/02/2023,13/02/2025,400,5,Annual,2,76.50905197,36.64395612
1.3,10/02/2023,13/02/2025,400,5,No,0,73.21419069,36.64395612
1.3,10/02/2022,13/02/2025,400,5,Quarterly,12,61.60533135,40.79398014
1.3,10/02/2022,13/02/2025,400,5,Semi-Annual,6,77.25468161,40.79398014
1.3,10/02/2022,13/02/2025,400,5,Annual,3,95.08699667,40.79398014
1.3,10/02/2022,13/02/2025,400,5,No,0,90.55191168,40.79398014
1.3,10/02/2021,13/02/2025,400,5,Quarterly,16,116.7210277,62.74042284
1.3,10/02/2021,13/02/2025,400,5,Semi-Annual,8,143.3657651,62.74042284
1.3,10/02/2021,13/02/2025,400,5,Annual,4,145.6104656,62.74042284
1.3,10/02/2021,13/02/2025,400,5,No,0,127.4621641,62.74042284
1.3,10/02/2020,13/02/2025,400,5,Quarterly,20,122.7962916,111.0813112
1.3,10/02/2020,13/02/2025,400,5,Semi-Annual,10,167.1848469,111.0813112
1.3,10/02/2020,13/02/2025,400,5,Annual,5,200.8211313,111.0813112
1.3,10/02/2020,13/02/2025,400,5,No,0,212.8949042,111.0813112
1.3,10/02/2019,13/02/2025,400,5,Quarterly,24,151.5921372,119.0854833
1.3,10/02/2019,13/02/2025,400,5,Semi-Annual,12,217.8184473,119.0854833
1.3,10/02/2019,13/02/2025,400,5,Annual,6,252.5934781,119.0854833
1.3,10/02/2019,13/02/2025,400,5,No,0,283.4583876,119.0854833
1.3,10/02/2018,13/02/2025,400,5,Quarterly,28,103.8469078,125.3420344
1.3,10/02/2018,13/02/2025,400,5,Semi-Annual,14,148.6454477,125.3420344
1.3,10/02/2018,13/02/2025,400,5,Annual,7,182.0113211,125.3420344
1.3,10/02/2018,13/02/2025,400,5,No,0,243.7331896,125.3420344
1.3,10/02/2017,13/02/2025,400,5,Quarterly,32,174.3775677,166.2822855
1.3,10/02/2017,13/02/2025,400,5,Semi-Annual,16,246.9671895,166.2822855
1.3,10/02/2017,13/02/2025,400,5,Annual,8,299.1422868,166.2822855
1.3,10/02/2017,13/02/2025,400,5,No,0,377.2489769,166.2822855
1.3,10/02/2016,13/02/2025,400,5,Quarterly,36,289.552583,238.4089342
1.3,10/02/2016,13/02/2025,400,5,Semi-Annual,18,361.6990739,238.4089342
1.3,10/02/2016,13/02/2025,400,5,Annual,9,464.1770306,238.4089342
1.3,10/02/2016,13/02/2025,400,5,No,0,602.9617763,238.4089342
1.4,10/02/2024,13/02/2025,400,10,Quarterly,4,13.07148698,7.560456089
1.4,10/02/2024,13/02/2025,400,10,Semi-Annual,2,16.25850267,7.560456089
1.4,10/02/2024,13/02/2025,400,10,Annual,1,13.91397038,7.560456089
1.4,10/02/2024,13/02/2025,400,10,No,0,13.91397038,7.560456089
1.4,10/02/2023,13/02/2025,400,10,Quarterly,8,42.81898255,36.64395612
1.4,10/02/2023,13/02/2025,400,10,Semi-Annual,4,66.79522843,36.64395612
1.4,10/02/2023,13/02/2025,400,10,Annual,2,70.51416243,36.64395612
1.4,10/02/2023,13/02/2025,400,10,No,0,78.46839398,36.64395612
1.4,10/02/2022,13/02/2025,400,10,Quarterly,12,55.61791939,40.79398014
1.4,10/02/2022,13/02/2025,400,10,Semi-Annual,6,75.80762027,40.79398014
1.4,10/02/2022,13/02/2025,400,10,Annual,3,89.34955952,40.79398014
1.4,10/02/2022,13/02/2025,400,10,No,0,92.93567284,40.79398014
1.4,10/02/2021,13/02/2025,400,10,Quarterly,16,91.84421819,62.74042284
1.4,10/02/2021,13/02/2025,400,10,Semi-Annual,8,124.5283259,62.74042284
1.4,10/02/2021,13/02/2025,400,10,Annual,4,147.9568028,62.74042284
1.4,10/02/2021,13/02/2025,400,10,No,0,129.1182742,62.74042284
1.4,10/02/2020,13/02/2025,400,10,Quarterly,20,88.82908388,111.0813112
1.4,10/02/2020,13/02/2025,400,10,Semi-Annual,10,136.5158013,111.0813112
1.4,10/02/2020,13/02/2025,400,10,Annual,5,194.0940157,111.0813112
1.4,10/02/2020,13/02/2025,400,10,No,0,209.5808876,111.0813112
1.4,10/02/2019,13/02/2025,400,10,Quarterly,24,112.759399,119.0854833
1.4,10/02/2019,13/02/2025,400,10,Semi-Annual,12,178.7533915,119.0854833
1.4,10/02/2019,13/02/2025,400,10,Annual,6,240.5225876,119.0854833
1.4,10/02/2019,13/02/2025,400,10,No,0,272.3065852,119.0854833
1.4,10/02/2018,13/02/2025,400,10,Quarterly,28,77.26935558,125.3420344
1.4,10/02/2018,13/02/2025,400,10,Semi-Annual,14,126.0567363,125.3420344
1.4,10/02/2018,13/02/2025,400,10,Annual,7,188.2995713,125.3420344
1.4,10/02/2018,13/02/2025,400,10,No,0,227.8135528,125.3420344
1.4,10/02/2017,13/02/2025,400,10,Quarterly,32,128.3060992,166.2822855
1.4,10/02/2017,13/02/2025,400,10,Semi-Annual,16,199.1471511,166.2822855
1.4,10/02/2017,13/02/2025,400,10,Annual,8,288.0218883,166.2822855
1.4,10/02/2017,13/02/2025,400,10,No,0,331.7802253,166.2822855
1.4,10/02/2016,13/02/2025,400,10,Quarterly,36,219.4167097,238.4089342
1.4,10/02/2016,13/02/2025,400,10,Semi-Annual,18,298.1528108,238.4089342
1.4,10/02/2016,13/02/2025,400,10,Annual,9,428.0817485,238.4089342
1.4,10/02/2016,13/02/2025,400,10,No,0,500.872842,238.4089342
1.1,10/02/2024,13/02/2025,400,20,Quarterly,4,14.35716676,7.560456089
1.1,10/02/2024,13/02/2025,400,20,Semi-Annual,2,16.7310383,7.560456089
1.1,10/02/2024,13/02/2025,400,20,Annual,1,17.89631876,7.560456089
1.1,10/02/2024,13/02/2025,400,20,No,0,17.89631876,7.560456089
1.1,10/02/2023,13/02/2025,400,20,Quarterly,8,47.10040518,36.64395612
1.1,10/02/2023,13/02/2025,400,20,Semi-Annual,4,68.19208171,36.64395612
1.1,10/02/2023,13/02/2025,400,20,Annual,2,75.12269137,36.64395612
1.1,10/02/2023,13/02/2025,400,20,No,0,75.8463407,36.64395612
1.1,10/02/2022,13/02/2025,400,20,Quarterly,12,58.57807474,40.79398014
1.1,10/02/2022,13/02/2025,400,20,Semi-Annual,6,75.18608008,40.79398014
1.1,10/02/2022,13/02/2025,400,20,Annual,3,91.82504412,40.79398014
1.1,10/02/2022,13/02/2025,400,20,No,0,91.76446379,40.79398014
1.1,10/02/2021,13/02/2025,400,20,Quarterly,16,99.99957522,62.74042284
1.1,10/02/2021,13/02/2025,400,20,Semi-Annual,8,132.4876327,62.74042284
1.1,10/02/2021,13/02/2025,400,20,Annual,4,160.6180351,62.74042284
1.1,10/02/2021,13/02/2025,400,20,No,0,139.3607943,62.74042284
1.1,10/02/2020,13/02/2025,400,20,Quarterly,20,101.9500395,111.0813112
1.1,10/02/2020,13/02/2025,400,20,Semi-Annual,10,153.162548,111.0813112
1.1,10/02/2020,13/02/2025,400,20,Annual,5,211.1444916,111.0813112
1.1,10/02/2020,13/02/2025,400,20,No,0,206.7732349,111.0813112
1.1,10/02/2019,13/02/2025,400,20,Quarterly,24,125.8719987,119.0854833
1.1,10/02/2019,13/02/2025,400,20,Semi-Annual,12,197.3474921,119.0854833
1.1,10/02/2019,13/02/2025,400,20,Annual,6,262.658436,119.0854833
1.1,10/02/2019,13/02/2025,400,20,No,0,238.3893029,119.0854833
1.1,10/02/2018,13/02/2025,400,20,Quarterly,28,92.43824041,125.3420344
1.1,10/02/2018,13/02/2025,400,20,Semi-Annual,14,150.3163459,125.3420344
1.1,10/02/2018,13/02/2025,400,20,Annual,7,213.0918921,125.3420344
1.1,10/02/2018,13/02/2025,400,20,No,0,195.5886349,125.3420344
1.1,10/02/2017,13/02/2025,400,20,Quarterly,32,146.2683545,166.2822855
1.1,10/02/2017,13/02/2025,400,20,Semi-Annual,16,224.7228099,166.2822855
1.1,10/02/2017,13/02/2025,400,20,Annual,8,307.1675176,166.2822855
1.1,10/02/2017,13/02/2025,400,20,No,0,291.2767005,166.2822855
1.1,10/02/2016,13/02/2025,400,20,Quarterly,36,240.5672673,238.4089342
1.1,10/02/2016,13/02/2025,400,20,Semi-Annual,18,324.8280745,238.4089342
1.1,10/02/2016,13/02/2025,400,20,Annual,9,449.9641176,238.4089342
1.1,10/02/2016,13/02/2025,400,20,No,0,477.7318162,238.4089342
1.2,10/02/2024,13/02/2025,400,50,Quarterly,4,14.9370148,7.560456089
1.2,10/02/2024,13/02/2025,400,50,Semi-Annual,2,17.28858452,7.560456089
1.2,10/02/2024,13/02/2025,400,50,Annual,1,18.79235466,7.560456089
1.2,10/02/2024,13/02/2025,400,50,No,0,18.79235466,7.560456089
1.2,10/02/2023,13/02/2025,400,50,Quarterly,8,47.91068773,36.64395612
1.2,10/02/2023,13/02/2025,400,50,Semi-Annual,4,71.81479981,36.64395612
1.2,10/02/2023,13/02/2025,400,50,Annual,2,77.02506364,36.64395612
1.2,10/02/2023,13/02/2025,400,50,No,0,80.06943329,36.64395612
1.2,10/02/2022,13/02/2025,400,50,Quarterly,12,57.36397847,40.79398014
1.2,10/02/2022,13/02/2025,400,50,Semi-Annual,6,77.3164583,40.79398014
1.2,10/02/2022,13/02/2025,400,50,Annual,3,89.86646375,40.79398014
1.2,10/02/2022,13/02/2025,400,50,No,0,89.82660015,40.79398014
1.2,10/02/2021,13/02/2025,400,50,Quarterly,16,91.42879502,62.74042284
1.2,10/02/2021,13/02/2025,400,50,Semi-Annual,8,128.029922,62.74042284
1.2,10/02/2021,13/02/2025,400,50,Annual,4,148.8793817,62.74042284
1.2,10/02/2021,13/02/2025,400,50,No,0,127.346003,62.74042284
1.2,10/02/2020,13/02/2025,400,50,Quarterly,20,94.50090836,111.0813112
1.2,10/02/2020,13/02/2025,400,50,Semi-Annual,10,150.8804414,111.0813112
1.2,10/02/2020,13/02/2025,400,50,Annual,5,195.537691,111.0813112
1.2,10/02/2020,13/02/2025,400,50,No,0,198.3285879,111.0813112
1.2,10/02/2019,13/02/2025,400,50,Quarterly,24,114.7627961,119.0854833
1.2,10/02/2019,13/02/2025,400,50,Semi-Annual,12,188.3088532,119.0854833
1.2,10/02/2019,13/02/2025,400,50,Annual,6,237.5219196,119.0854833
1.2,10/02/2019,13/02/2025,400,50,No,0,226.9870924,119.0854833
1.2,10/02/2018,13/02/2025,400,50,Quarterly,28,87.29550378,125.3420344
1.2,10/02/2018,13/02/2025,400,50,Semi-Annual,14,152.0807034,125.3420344
1.2,10/02/2018,13/02/2025,400,50,Annual,7,204.6684769,125.3420344
1.2,10/02/2018,13/02/2025,400,50,No,0,199.9445528,125.3420344
1.2,10/02/2017,13/02/2025,400,50,Quarterly,32,135.1697385,166.2822855
1.2,10/02/2017,13/02/2025,400,50,Semi-Annual,16,221.5582466,166.2822855
1.2,10/02/2017,13/02/2025,400,50,Annual,8,289.7585002,166.2822855
1.2,10/02/2017,13/02/2025,400,50,No,0,277.0802573,166.2822855
1.2,10/02/2016,13/02/2025,400,50,Quarterly,36,218.7022177,238.4089342
1.2,10/02/2016,13/02/2025,400,50,Semi-Annual,18,316.0284284,238.4089342
1.2,10/02/2016,13/02/2025,400,50,Annual,9,418.5623094,238.4089342
1.2,10/02/2016,13/02/2025,400,50,No,0,426.1170521,238.4089342
1.5,10/02/2024,13/02/2025,400,100,Quarterly,4,15.20895567,7.560456089
1.5,10/02/2024,13/02/2025,400,100,Semi-Annual,2,18.05753511,7.560456089
1.5,10/02/2024,13/02/2025,400,100,Annual,1,19.27789169,7.560456089
1.5,10/02/2024,13/02/2025,400,100,No,0,19.27789169,7.560456089
1.5,10/02/2023,13/02/2025,400,100,Quarterly,8,46.15504913,36.64395612
1.5,10/02/2023,13/02/2025,400,100,Semi-Annual,4,69.7099634,36.64395612
1.5,10/02/2023,13/02/2025,400,100,Annual,2,73.56881974,36.64395612
1.5,10/02/2023,13/02/2025,400,100,No,0,74.10859086,36.64395612
1.5,10/02/2022,13/02/2025,400,100,Quarterly,12,54.39689081,40.79398014
1.5,10/02/2022,13/02/2025,400,100,Semi-Annual,6,74.65383187,40.79398014
1.5,10/02/2022,13/02/2025,400,100,Annual,3,85.88836812,40.79398014
1.5,10/02/2022,13/02/2025,400,100,No,0,84.38488015,40.79398014
1.5,10/02/2021,13/02/2025,400,100,Quarterly,16,84.74258877,62.74042284
1.5,10/02/2021,13/02/2025,400,100,Semi-Annual,8,119.2334145,62.74042284
1.5,10/02/2021,13/02/2025,400,100,Annual,4,139.3721129,62.74042284
1.5,10/02/2021,13/02/2025,400,100,No,0,123.6128912,62.74042284
1.5,10/02/2020,13/02/2025,400,100,Quarterly,20,91.7413713,111.0813112
1.5,10/02/2020,13/02/2025,400,100,Semi-Annual,10,148.6016247,111.0813112
1.5,10/02/2020,13/02/2025,400,100,Annual,5,186.6578533,111.0813112
1.5,10/02/2020,13/02/2025,400,100,No,0,187.7836004,111.0813112
1.5,10/02/2019,13/02/2025,400,100,Quarterly,24,113.9318671,119.0854833
1.5,10/02/2019,13/02/2025,400,100,Semi-Annual,12,187.0478503,119.0854833
1.5,10/02/2019,13/02/2025,400,100,Annual,6,227.9476851,119.0854833
1.5,10/02/2019,13/02/2025,400,100,No,0,216.5010574,119.0854833
1.5,10/02/2018,13/02/2025,400,100,Quarterly,28,89.3653232,125.3420344
1.5,10/02/2018,13/02/2025,400,100,Semi-Annual,14,154.9021477,125.3420344
1.5,10/02/2018,13/02/2025,400,100,Annual,7,199.9098306,125.3420344
1.5,10/02/2018,13/02/2025,400,100,No,0,198.9755565,125.3420344
1.5,10/02/2017,13/02/2025,400,100,Quarterly,32,138.5290217,166.2822855
1.5,10/02/2017,13/02/2025,400,100,Semi-Annual,16,227.3608146,166.2822855
1.5,10/02/2017,13/02/2025,400,100,Annual,8,284.0608586,166.2822855
1.5,10/02/2017,13/02/2025,400,100,No,0,265.0301521,166.2822855
1.5,10/02/2016,13/02/2025,400,100,Quarterly,36,220.2914179,238.4089342
1.5,10/02/2016,13/02/2025,400,100,Semi-Annual,18,323.4116515,238.4089342
1.5,10/02/2016,13/02/2025,400,100,Annual,9,410.4625058,238.4089342
1.5,10/02/2016,13/02/2025,400,100,No,0,415.4507774,238.4089342
1.6,10/02/2024,13/02/2025,400,200,Quarterly,4,14.68617978,7.560456089
1.6,10/02/2024,13/02/2025,400,200,Semi-Annual,2,17.12467739,7.560456089
1.6,10/02/2024,13/02/2025,400,200,Annual,1,18.84770184,7.560456089
1.6,10/02/2024,13/02/2025,400,200,No,0,18.84770184,7.560456089
1.6,10/02/2023,13/02/2025,400,200,Quarterly,8,44.38093294,36.64395612
1.6,10/02/2023,13/02/2025,400,200,Semi-Annual,4,66.49488386,36.64395612
1.6,10/02/2023,13/02/2025,400,200,Annual,2,70.41407508,36.64395612
1.6,10/02/2023,13/02/2025,400,200,No,0,72.16382478,36.64395612
1.6,10/02/2022,13/02/2025,400,200,Quarterly,12,51.56618351,40.79398014
1.6,10/02/2022,13/02/2025,400,200,Semi-Annual,6,71.49622775,40.79398014
1.6,10/02/2022,13/02/2025,400,200,Annual,3,83.0199743,40.79398014
1.6,10/02/2022,13/02/2025,400,200,No,0,82.65001002,40.79398014
1.6,10/02/2021,13/02/2025,400,200,Quarterly,16,78.35090639,62.74042284
1.6,10/02/2021,13/02/2025,400,200,Semi-Annual,8,110.4305188,62.74042284
1.6,10/02/2021,13/02/2025,400,200,Annual,4,133.094001,62.74042284
1.6,10/02/2021,13/02/2025,400,200,No,0,116.9045552,62.74042284
1.6,10/02/2020,13/02/2025,400,200,Quarterly,20,87.03255539,111.0813112
1.6,10/02/2020,13/02/2025,400,200,Semi-Annual,10,141.8355313,111.0813112
1.6,10/02/2020,13/02/2025,400,200,Annual,5,181.6229972,111.0813112
1.6,10/02/2020,13/02/2025,400,200,No,0,188.3183505,111.0813112
1.6,10/02/2019,13/02/2025,400,200,Quarterly,24,107.7808304,119.0854833
1.6,10/02/2019,13/02/2025,400,200,Semi-Annual,12,177.1583883,119.0854833
1.6,10/02/2019,13/02/2025,400,200,Annual,6,220.322089,119.0854833
1.6,10/02/2019,13/02/2025,400,200,No,0,208.9051783,119.0854833
1.6,10/02/2018,13/02/2025,400,200,Quarterly,28,87.82606016,125.3420344
1.6,10/02/2018,13/02/2025,400,200,Semi-Annual,14,152.575096,125.3420344
1.6,10/02/2018,13/02/2025,400,200,Annual,7,201.3429999,125.3420344
1.6,10/02/2018,13/02/2025,400,200,No,0,185.0752012,125.3420344
1.6,10/02/2017,13/02/2025,400,200,Quarterly,32,133.6481278,166.2822855
1.6,10/02/2017,13/02/2025,400,200,Semi-Annual,16,220.5364741,166.2822855
1.6,10/02/2017,13/02/2025,400,200,Annual,8,280.7759177,166.2822855
1.6,10/02/2017,13/02/2025,400,200,No,0,250.6459796,166.2822855
1.6,10/02/2016,13/02/2025,400,200,Quarterly,36,203.7541403,238.4089342
1.6,10/02/2016,13/02/2025,400,200,Semi-Annual,18,306.3007812,238.4089342
1.6,10/02/2016,13/02/2025,400,200,Annual,9,396.9545397,238.4089342
1.6,10/02/2016,13/02/2025,400,200,No,0,376.7418359,238.4089342
1.7,10/02/2024,13/02/2025,400,470,Quarterly,4,13.50959909,7.560456089
1.7,10/02/2024,13/02/2025,400,470,Semi-Annual,2,15.43295346,7.560456089
1.7,10/02/2024,13/02/2025,400,470,Annual,1,17.21357148,7.560456089
1.7,10/02/2024,13/02/2025,400,470,No,0,17.21357148,7.560456089
1.7,10/02/2023,13/02/2025,400,470,Quarterly,8,41.00254567,36.64395612
1.7,10/02/2023,13/02/2025,400,470,Semi-Annual,4,61.44303824,36.64395612
1.7,10/02/2023,13/02/2025,400,470,Annual,2,65.37359847,36.64395612
1.7,10/02/2023,13/02/2025,400,470,No,0,68.34572928,36.64395612
1.7,10/02/2022,13/02/2025,400,470,Quarterly,12,47.01858422,40.79398014
1.7,10/02/2022,13/02/2025,400,470,Semi-Annual,6,66.19051052,40.79398014
1.7,10/02/2022,13/02/2025,400,470,Annual,3,77.38860251,40.79398014
1.7,10/02/2022,13/02/2025,400,470,No,0,78.60899724,40.79398014
1.7,10/02/2021,13/02/2025,400,470,Quarterly,16,71.77488197,62.74042284
1.7,10/02/2021,13/02/2025,400,470,Semi-Annual,8,102.6963872,62.74042284
1.7,10/02/2021,13/02/2025,400,470,Annual,4,125.0674144,62.74042284
1.7,10/02/2021,13/02/2025,400,470,No,0,115.92256,62.74042284
